epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,842.904,2.86267,2.38976,0.93252,0.44779,0.34555,0.34054,0.14044,2.93581,2.40038,0.99801,0.0005941,0.0005941,0.0005941
43,862.804,2.96842,2.29397,1.022,0.46013,0.24676,0.27636,0.12826,2.76451,2.44641,0.99443,0.0005842,0.0005842,0.0005842
44,883.084,2.78743,2.27912,0.96837,0.35069,0.20182,0.21077,0.0946,2.80464,2.61433,1.01347,0.0005743,0.0005743,0.0005743
45,902.936,2.88298,2.31908,0.92591,0.37954,0.31851,0.319,0.14205,2.81265,2.4533,1.01265,0.0005644,0.0005644,0.0005644
46,922.786,2.8354,2.26423,0.9552,0.25801,0.25445,0.22771,0.0979,2.76844,2.72187,1.00885,0.0005545,0.0005545,0.0005545
47,942.76,2.79257,2.08695,0.93824,0.56328,0.20546,0.27699,0.14147,2.69527,2.42034,0.98521,0.0005446,0.0005446,0.0005446
48,963.031,2.7923,2.1867,0.98663,0.47108,0.33016,0.3091,0.16419,2.75461,2.29761,0.98679,0.0005347,0.0005347,0.0005347
49,983.197,2.71115,2.11981,0.9098,0.50014,0.1919,0.26898,0.12485,2.86692,2.76133,1.02328,0.0005248,0.0005248,0.0005248
50,1003.29,2.80423,2.19917,0.97417,0.52779,0.34555,0.36669,0.16552,2.83558,2.25494,1.0147,0.0005149,0.0005149,0.0005149
51,1023.98,2.7014,2.20926,0.95604,0.44153,0.31793,0.31338,0.13769,2.82309,2.64655,1.00562,0.000505,0.000505,0.000505
52,1043.89,2.81562,2.14321,0.96034,0.47485,0.24453,0.31544,0.13274,2.72935,3.01581,0.99625,0.0004951,0.0004951,0.0004951
53,1063.57,2.82729,2.10314,0.95174,0.42869,0.31255,0.34575,0.16533,2.6288,2.33972,0.98191,0.0004852,0.0004852,0.0004852
54,1083.27,2.81784,2.07967,0.9549,0.43092,0.25,0.33551,0.15225,2.69854,2.86566,0.98251,0.0004753,0.0004753,0.0004753
55,1103.09,2.73092,2.20865,0.93685,0.37911,0.33752,0.29101,0.15038,2.64566,2.79105,0.98417,0.0004654,0.0004654,0.0004654
56,1122.67,2.57278,2.08862,0.93958,0.5472,0.3296,0.35023,0.17402,2.5448,2.25087,0.97331,0.0004555,0.0004555,0.0004555
57,1142.55,2.78042,2.17754,0.96582,0.48051,0.3664,0.36773,0.17196,2.62392,2.35098,0.98344,0.0004456,0.0004456,0.0004456
58,1162.73,2.75383,2.06385,0.97385,0.43349,0.26197,0.30238,0.14021,2.69676,2.5155,0.97948,0.0004357,0.0004357,0.0004357
59,1182.59,2.70819,2.12734,0.92023,0.83488,0.22368,0.30257,0.14479,2.63448,2.8774,0.97806,0.0004258,0.0004258,0.0004258
60,1202.42,2.76438,2.15901,0.92767,0.15769,0.39718,0.13855,0.06258,2.66871,3.09882,0.97819,0.0004159,0.0004159,0.0004159
61,1222.58,2.66789,2.00991,0.93696,0.32783,0.3334,0.28681,0.1343,2.71195,2.5179,0.97776,0.000406,0.000406,0.000406
62,1242.8,2.59979,1.92688,0.94338,0.55218,0.34172,0.38498,0.18793,2.69969,2.26571,0.98322,0.0003961,0.0003961,0.0003961
63,1263,2.46658,1.9603,0.9437,0.24281,0.38725,0.1362,0.05606,2.60988,3.07432,0.9694,0.0003862,0.0003862,0.0003862
64,1282.97,2.59198,2.0097,0.89962,0.51699,0.42449,0.40613,0.19588,2.60915,2.17289,0.97336,0.0003763,0.0003763,0.0003763
65,1303.35,2.5431,1.89098,0.92783,0.49544,0.38057,0.39404,0.19222,2.62668,2.17955,0.97492,0.0003664,0.0003664,0.0003664
66,1323.81,2.56878,1.92195,0.93713,0.42972,0.34555,0.34216,0.17161,2.59534,2.28209,0.96908,0.0003565,0.0003565,0.0003565
67,1343.76,2.57861,1.96395,0.92365,0.20358,0.41579,0.2113,0.10558,2.60544,4.33578,0.98441,0.0003466,0.0003466,0.0003466
68,1363.56,2.68601,2.17425,0.92238,0.58727,0.23713,0.34008,0.16358,2.60837,2.33962,0.97852,0.0003367,0.0003367,0.0003367
69,1383.24,2.54696,2.03936,0.91566,0.48814,0.42126,0.39526,0.1784,2.57701,2.29005,0.98032,0.0003268,0.0003268,0.0003268
70,1402.89,2.61541,2.02692,0.94386,0.54217,0.38279,0.38661,0.18265,2.57651,2.34389,0.99287,0.0003169,0.0003169,0.0003169
71,1422.47,2.46986,1.83965,0.90075,0.65812,0.34742,0.40416,0.19789,2.50763,2.1524,0.98015,0.000307,0.000307,0.000307
72,1442.55,2.41875,1.81564,0.93362,0.64234,0.31625,0.37987,0.18567,2.55359,2.25879,0.97793,0.0002971,0.0002971,0.0002971
73,1462.36,2.55391,1.91893,0.92658,0.3131,0.42895,0.29708,0.15382,2.60636,3.40714,0.98511,0.0002872,0.0002872,0.0002872
74,1482.06,2.44382,1.80267,0.89669,0.24686,0.35324,0.14082,0.06318,2.59703,3.49929,0.97212,0.0002773,0.0002773,0.0002773
75,1502.04,2.68889,2.06647,0.92262,0.53257,0.3809,0.40325,0.19362,2.63683,2.02591,0.96562,0.0002674,0.0002674,0.0002674
76,1522.07,2.55818,1.86827,0.9323,0.55651,0.42005,0.43396,0.20922,2.52073,1.92349,0.97466,0.0002575,0.0002575,0.0002575
77,1542.04,2.47949,1.79725,0.93899,0.56832,0.27797,0.35279,0.17184,2.52471,2.40716,0.9849,0.0002476,0.0002476,0.0002476
78,1561.98,2.50324,1.87753,0.89781,0.35456,0.41244,0.32304,0.14334,2.63786,2.74919,0.98576,0.0002377,0.0002377,0.0002377
79,1582.18,2.41447,1.77892,0.89217,0.61242,0.36862,0.3843,0.19394,2.58441,2.03017,0.97448,0.0002278,0.0002278,0.0002278
